School Name,School Type,School Level,School Language,Grade Range,Street,Municipality,City,Province,Postal Code,School Website,Latitude,Longitude
Algoma Education Connection Secondary School,Public,Secondary,English,9-12,550 Northern Ave,"Sault Ste. Marie, City of",Sault Ste Marie,Ontario,P6B4J4,http://www.adsb.on.ca,46.53477,-84.3077
Anna McCrea Public School,Public,Elementary,English,JK-8,250 Mark St,"Sault Ste. Marie, City of",Sault Ste Marie,Ontario,P6A3M7,http://www.adsb.on.ca/sites/schools/amc/default.aspx,46.50593,-84.2873
Ben R McMullin Public School,Public,Elementary,English,JK-8,24 Paradise Ave,"Sault Ste. Marie, City of",Sault Ste Marie,Ontario,P6B5K2,http://www.adsb.on.ca/sites/schools/brm/default.aspx,46.52455,-84.298
Blind River Public School,Public,Elementary,English,JK-8,19 Hanes Ave,"Blind River, Town of",Blind River,Ontario,P0R1B0,http://www.adsb.on.ca/sites/schools/bli/default.aspx,46.18454,-82.9576
Boreal French Immersion Public School,Public,Elementary,English,JK-8,232 Northern Ave,"Sault Ste. Marie, City of",Sault Ste Marie,Ontario,P6B4H6,http://rosedale.adsb.on.ca/,46.52447,-84.3107
Central Algoma Intermediate School,Public,Elementary,English,7-8,32 Kensington Road,"Huron Shores, Municipality of",Desbarats,Ontario,P0R1E0,http://www.adsb.on.ca/sites/schools/cis/default.aspx,46.34007,-83.9369
Central Algoma Public School,Public,Elementary,English,JK-6,5 Margaret St,"Johnson, Township of",Desbarats,Ontario,P0R1E0,http://www.adsb.on.ca/content/schools/school_details.asp?SchoolID=40,46.34875,-83.9253
Central Algoma Secondary School,Public,Secondary,English,9-12,32 Kensington Rd,"Johnson, Township of",Desbarats,Ontario,P0R1E0,http://www.adsb.on.ca/sites/schools/cas/default.aspx,46.33811,-83.9355
Central Avenue Public School,Public,Elementary,English,JK-8,81 Central Ave,"Elliot Lake, City of",Elliot Lake,Ontario,P5A2G4,http://www.adsb.on.ca/sites/schools/cen/default.aspx,46.3904,-82.6588
Chapleau High School,Public,Secondary,English,9-12,20 Teak St,"Chapleau, Township of",Chapleau,Ontario,P0M1K0,http://www.adsb.on.ca/sites/schools/css/default.aspx,47.84273,-83.4083
Chapleau Public School,Public,Elementary,English,JK-8,24 Pine St,"Chapleau, Township of",Chapleau,Ontario,P0M1K0,http://www.adsb.on.ca/content/schools/school_details.asp?SchoolID=24,47.84496,-83.4033
East View Public School,Public,Elementary,English,JK-8,75 Arizona Ave,"Sault Ste. Marie, City of",Sault Ste Marie,Ontario,P6A4L9,http://www.adsb.on.ca/sites/schools/evs/default.aspx,46.51668,-84.28
Echo Bay Central Public School,Public,Elementary,English,JK-6,290 Church St,"Macdonald/Meredith/Aberdeen Add.,",Echo Bay,Ontario,P0S1C0,http://www.adsb.on.ca/sites/schools/ech/default.aspx,46.48567,-84.0637
Elliot Lake Intermediate School,Public,Elementary,English,7-8,303 Mississauga Avenue,"Elliot Lake, City of",Elliot Lake,Ontario,P5A1E8,,46.3761958,-82.66064332
Elliot Lake Secondary School,Public,Secondary,English,9-12,303 Mississauga Ave,"Elliot Lake, City of",Elliot Lake,Ontario,P5A1E8,http://www.adsb.on.ca/sites/schools/els/default.aspx,46.37627,-82.6611
Esten Park Public School,Public,Elementary,English,JK-8,115 Hergott Ave,"Elliot Lake, City of",Elliot Lake,Ontario,P5A3B4,http://www.adsb.on.ca/sites/schools/est/default.aspx,46.37191,-82.6198
Francis H Clergue Public School,Public,Elementary,English,JK-8,80 Weldon Ave,"Sault Ste. Marie, City of",Sault Ste Marie,Ontario,P6B3C6,http://www.adsb.on.ca/sites/schools/fhc/default.aspx,46.51862,-84.3096
Grand View Public School,Public,Elementary,English,JK-8,161 Denwood Dr,"Sault Ste. Marie, City of",Sault Ste Marie,Ontario,P6A5R4,http://www.adsb.on.ca/sites/schools/gvs/default.aspx,46.50955,-84.2659
Greenwood Public School,Public,Elementary,English,JK-8,8 Fourth Line W,"Sault Ste. Marie, City of",Sault Ste Marie,Ontario,P6A5K8,http://www.adsb.on.ca/sites/schools/gps/default.aspx,46.56732,-84.3528
H M Robbins Public School,Public,Elementary,English,JK-8,83 East Balfour St,"Sault Ste. Marie, City of",Sault Ste Marie,Ontario,P6C1X4,http://www.adsb.on.ca/sites/schools/hmr/default.aspx,46.5328,-84.3895
Hornepayne High School,Public,Secondary,English,9-12,162 Fourth Avenue,"Hornepayne, Township of",Hornepayne,Ontario,P0M1Z0,http://www.adsb.on.ca/sites/schools/hhs/default.aspx,49.21525,-84.7789
Hornepayne Public School,Public,Elementary,English,JK-8,162 Fourth Ave,"Hornepayne, Township of",Hornepayne,Ontario,P0M1Z0,http://www.adsb.on.ca/sites/schools/hor/default.aspx,49.2167,-84.78
Isabel Fletcher Public School,Public,Elementary,English,JK-6,599 Third Line,"Sault Ste. Marie, City of",Sault Ste Marie,Ontario,P6A6K4,http://www.adsb.on.ca/sites/schools/isf/default.aspx,46.55114,-84.3789
Kiwedin Public School,Public,Elementary,English,JK-6,735 North St,"Sault Ste. Marie, City of",Sault Ste Marie,Ontario,P6B2C4,http://www.adsb.on.ca/sites/schools/kps/default.aspx,46.54201,-84.3351
Korah Collegiate and Vocational School,Public,Secondary,English,9-12,636 Goulais Ave,"Sault Ste. Marie, City of",Sault Ste Marie,Ontario,P6C5A7,http://www.adsb.on.ca/sites/schools/kor/default.aspx,46.54269,-84.3816
Korah Intermediate School,Public,Elementary,English,7-8,636 Goulais Ave,"Sault Ste. Marie, City of",Sault Ste Marie,Ontario,P6C5A7,http://www.adsb.on.ca/sites/schools/kis/default.aspx,46.54247,-84.3821
Michipicoten High School,Public,Secondary,English,9-12,86 Magpie Rd,"Middlesex, County of",Wawa,Ontario,P0S1K0,http://www.adsb.on.ca/sites/schools/mic/default.aspx,47.99317,-84.7758
